records,throughput,memory_bytes,adds,modifies,cancels,trades,fills,add_p50_ns,add_p99_ns,add_p999_ns,modify_p50_ns,modify_p99_ns,modify_p999_ns,cancel_p50_ns,cancel_p99_ns,cancel_p999_ns,trade_p50_ns,trade_p99_ns,trade_p999_ns,fill_p50_ns,fill_p99_ns,fill_p999_ns
254000000,5653721,195279608,483123,0,495011,12777,9089,60,351,501,0,0,0,111,541,791,20,50,51,110,541,722
255000000,5680909,195279608,483396,0,496133,12026,8445,60,341,491,0,0,0,111,521,782,20,50,60,110,521,661
256000000,5767281,195279608,481138,0,493471,14792,10599,60,341,501,0,0,0,110,531,811,20,40,50,110,531,762
257000000,5814875,195279608,484248,0,494022,12789,8941,60,331,511,0,0,0,110,531,772,20,40,51,110,491,551
258000000,5848472,195279608,480101,0,492675,15664,11560,60,350,501,0,0,0,110,531,791,20,41,51,110,451,551
259000000,5796426,195279608,480689,0,494664,14230,10417,60,341,501,0,0,0,110,531,781,20,41,51,110,460,641
260000000,5930786,195279608,481361,0,493281,14746,10612,51,331,491,0,0,0,110,531,782,20,41,60,110,531,3897
261000000,5823203,195279608,480475,0,492590,15886,11049,60,351,501,0,0,0,110,541,801,20,40,50,110,491,611
262000000,5792684,195279608,477665,0,492109,17368,12858,60,331,511,0,0,0,110,531,791,20,40,50,110,551,761
263000000,5723142,195279608,478839,0,492550,16360,12251,60,341,501,0,0,0,110,541,792,20,41,50,110,581,751
264000000,5752267,195279608,479916,0,491809,16663,11612,60,341,511,0,0,0,111,531,772,20,40,41,110,551,852
265000000,5769984,195279608,481645,0,493117,14777,10461,60,331,500,0,0,0,110,531,771,20,50,70,110,521,691
266000000,5733075,195279608,480351,0,492136,15932,11581,60,341,521,0,0,0,111,541,791,20,41,51,110,592,852
267000000,5791329,195279608,480557,0,494774,14449,10220,51,341,541,0,0,0,111,531,791,20,50,61,110,521,551
268000000,5818121,195279608,480717,0,492316,15878,11089,50,341,501,0,0,0,110,531,761,20,41,50,110,581,771
269000000,5828220,195279608,479043,0,491579,17383,11995,50,341,501,0,0,0,110,531,811,20,41,51,110,541,661
270000000,5640348,195279608,472589,0,491311,20342,15758,60,360,511,0,0,0,111,551,802,20,40,50,110,551,731
271000000,5670414,195279608,477159,0,490746,18286,13809,70,351,511,0,0,0,110,541,811,20,41,50,110,480,731
272000000,5725067,195279608,478009,0,491064,17800,13127,70,351,491,0,0,0,110,531,772,20,40,60,110,501,621
273000000,5697717,195279608,477186,0,491447,18059,13308,61,351,501,0,0,0,110,541,791,20,41,50,110,511,571
274000000,5714422,195279608,476345,0,491640,18181,13834,70,350,491,0,0,0,110,541,802,20,40,60,110,531,561
